probe_model,finetuned,text_source,mean_ppl,std_ppl,wilcoxon_stat,wilcoxon_p,effect_size,detection_auroc
gpt2,False,human,51.66797402556269,29.56965684811754,,,,
gpt2,False,gpt-5,44.23933881647401,28.205321596522445,5716.0,1.2351401195998968e-07,0.7156218905472637,0.4025
gpt2,False,gpt-5-mini,43.54336555399583,23.525886461855936,6288.0,4.42651316872608e-06,0.6871641791044776,0.40635
gpt2,False,grok-3,40.42263741232573,24.013399998098997,4614.0,3.292772839160502e-11,0.7704477611940299,0.35640000000000005
gpt2,False,llama-3.3-70b-instruct,40.920270689490685,22.711105758598226,4719.0,7.783447358234487e-11,0.765223880597015,0.367625
gpt2-medium,False,human,39.060694704984414,21.67986663938632,,,,
gpt2-medium,False,gpt-5,34.96492941619711,23.655555491204627,6542.0,1.8659375019644572e-05,0.6745273631840796,0.41665
gpt2-medium,False,gpt-5-mini,34.80725996448909,20.458576962939198,7085.0,0.0002971125752346632,0.6475124378109453,0.419675
gpt2-medium,False,grok-3,32.96882056621258,20.036227172383217,5701.0,1.1173782926014454e-07,0.7163681592039801,0.380575
gpt2-medium,False,llama-3.3-70b-instruct,33.11470725872803,18.503837556534382,5924.0,4.792923438988136e-07,0.705273631840796,0.390075
gpt2-large,False,human,34.76902603876664,19.429131183392094,,,,
gpt2-large,False,gpt-5,30.378488820342444,18.38353000149279,6180.0,2.334693783931361e-06,0.6925373134328359,0.41470000000000007
gpt2-large,False,gpt-5-mini,31.063743255320052,19.156950632687792,7198.0,0.0005015534897052765,0.6418905472636816,0.41774999999999995
gpt2-large,False,grok-3,29.973509385656325,18.47824899432803,6314.0,5.150657973816295e-06,0.6858706467661692,0.39270000000000005
gpt2-large,False,llama-3.3-70b-instruct,30.217395814124046,17.72131457463071,6343.0,6.092002070550427e-06,0.6844278606965174,0.4009
gpt2-xl,False,human,31.882230251097777,16.53252532846306,,,,
gpt2-xl,False,gpt-5,29.16648299403497,16.442907719329384,7060.0,0.00026397219660621553,0.6487562189054726,0.43767500000000004
gpt2-xl,False,gpt-5-mini,29.814163559596555,18.0372183066204,8019.0,0.013205982120659501,0.601044776119403,0.441025
gpt2-xl,False,grok-3,28.287824474164623,16.757250431391533,6912.0,0.00012872041168083553,0.6561194029850747,0.410325
gpt2-xl,False,llama-3.3-70b-instruct,28.31751818614107,16.25287024371593,6603.0,2.600145949454351e-05,0.6714925373134328,0.41325
gpt2+gpt-5-mini_lora,True,human,46.20196085477386,28.006637731535985,,,,
gpt2+gpt-5-mini_lora,True,gpt-5,36.47559986237256,23.697511698237427,4123.0,4.761121538806048e-13,0.7948756218905473,0.37212500000000004
gpt2+gpt-5-mini_lora,True,gpt-5-mini,35.76924325263113,18.892793211787833,4894.0,3.150262938478772e-10,0.7565174129353234,0.37710000000000005
gpt2+gpt-5-mini_lora,True,grok-3,34.093644963931204,20.75316822841859,3924.0,7.734338728780852e-14,0.8047761194029851,0.339825
gpt2+gpt-5-mini_lora,True,llama-3.3-70b-instruct,34.34889097183472,18.1369770216663,4088.0,3.4730784554074705e-13,0.7966169154228856,0.353425
gpt2+gpt-5_lora,True,human,45.87236108955471,27.57724590372951,,,,
gpt2+gpt-5_lora,True,gpt-5,35.5388322623896,21.953635070051046,3728.0,1.2201489588895045e-14,0.8145273631840796,0.3625500000000001
gpt2+gpt-5_lora,True,gpt-5-mini,35.744830970818995,19.030105496779328,4877.0,2.755584334214195e-10,0.757363184079602,0.377925
gpt2+gpt-5_lora,True,grok-3,33.86588574436732,20.554406359159394,3882.0,5.231446054140199e-14,0.806865671641791,0.337975
gpt2+gpt-5_lora,True,llama-3.3-70b-instruct,34.21959273890804,18.05492105891127,4101.0,3.905613008600674e-13,0.7959701492537313,0.35290000000000005
gpt2+grok-3_lora,True,human,46.48553217588587,28.538466322856866,,,,
gpt2+grok-3_lora,True,gpt-5,37.92909980037493,27.165183513219155,4774.0,1.2136305925307092e-10,0.7624875621890548,0.385575
gpt2+grok-3_lora,True,gpt-5-mini,36.721061779132604,19.928318978627384,5392.0,1.31925037312673e-08,0.7317412935323383,0.388375
gpt2+grok-3_lora,True,grok-3,33.607604101608985,20.874502435415984,3649.0,5.704779555164502e-15,0.818457711442786,0.329575
gpt2+grok-3_lora,True,llama-3.3-70b-instruct,33.961173114601294,17.980135260048584,3936.0,8.644338779882123e-14,0.8041791044776119,0.34565
gpt2+human_lora,True,human,43.790457987007876,24.105993658762912,,,,
gpt2+human_lora,True,gpt-5,37.90765648195566,25.702026789755518,5635.0,7.162297345558912e-08,0.7196517412935324,0.4043
gpt2+human_lora,True,gpt-5-mini,36.92678237536835,19.53452521278821,6170.0,2.1985541362755725e-06,0.6930348258706467,0.40695
gpt2+human_lora,True,grok-3,34.6001579484617,20.630931421602952,4644.0,4.217160309991403e-11,0.768955223880597,0.3594
gpt2+human_lora,True,llama-3.3-70b-instruct,34.60334632665627,18.07269469703067,4641.0,4.114337682081381e-11,0.7691044776119402,0.3687
gpt2+llama-3.3-70b-instruct_lora,True,human,46.17788948174829,28.422369455125345,,,,
gpt2+llama-3.3-70b-instruct_lora,True,gpt-5,37.950968977586825,27.524226412834533,4939.0,4.4807067885466325e-10,0.7542786069651741,0.38915
gpt2+llama-3.3-70b-instruct_lora,True,gpt-5-mini,36.634071807674964,19.98300628865189,5524.0,3.342283556518924e-08,0.7251741293532339,0.39144999999999996
gpt2+llama-3.3-70b-instruct_lora,True,grok-3,33.76297794694463,20.925055871846073,3880.0,5.134616078312257e-14,0.8069651741293532,0.33645
gpt2+llama-3.3-70b-instruct_lora,True,llama-3.3-70b-instruct,33.80398532465705,18.039016046025775,3976.0,1.2505439018613107e-13,0.8021890547263681,0.34750000000000003
gpt2+pooled_ai_lora,True,human,43.99593557533688,27.27987162800812,,,,
gpt2+pooled_ai_lora,True,gpt-5,32.11953371672427,18.848722557199384,2610.0,1.105209755621775e-19,0.8701492537313433,0.3412
