section,metric,value
corpus_stats,total_sentences,2000
corpus_stats,mean_en_tokens,43.5
corpus_stats,median_en_tokens,40.0
corpus_stats,mean_zh_chars,76.8
corpus_stats,median_zh_chars,71.0
finetune_summary,gpt2_human_val_ppl,37.91
finetune_summary,gpt2_human_val_loss,3.6351
finetune_summary,gpt2_gpt-5_val_ppl,30.11
finetune_summary,gpt2_gpt-5_val_loss,3.4047
finetune_summary,gpt2_gpt-5-mini_val_ppl,30.95
finetune_summary,gpt2_gpt-5-mini_val_loss,3.4324
finetune_summary,gpt2_grok-3_val_ppl,28.66
finetune_summary,gpt2_grok-3_val_loss,3.3556
finetune_summary,gpt2_llama-3.3-70b-instruct_val_ppl,28.89
finetune_summary,gpt2_llama-3.3-70b-instruct_val_loss,3.3634
finetune_summary,gpt2_pooled_ai_val_ppl,27.28
finetune_summary,gpt2_pooled_ai_val_loss,3.3061
classification_best,two_feature_best_classifier,LogisticRegression
classification_best,two_feature_best_accuracy,0.8230
classification_best,two_feature_best_precision,0.8243
classification_best,two_feature_best_recall,0.9900
classification_best,two_feature_best_f1,0.8995
classification_best,two_feature_best_auroc,0.7887
classification_best,full_feature_best_classifier,LogisticRegression
classification_best,full_feature_best_accuracy,0.8250
classification_best,full_feature_best_precision,0.8247
classification_best,full_feature_best_recall,0.9925
classification_best,full_feature_best_f1,0.9008
classification_best,full_feature_best_auroc,0.8194
classification_best,cross_system_holdout_gpt-5_best_classifier,RandomForest
classification_best,cross_system_holdout_gpt-5_best_accuracy,0.9625
classification_best,cross_system_holdout_gpt-5_best_precision,1.0000
classification_best,cross_system_holdout_gpt-5_best_recall,0.9250
classification_best,cross_system_holdout_gpt-5_best_f1,0.9610
classification_best,cross_system_holdout_gpt-5_best_auroc,0.9685
classification_best,cross_system_holdout_gpt-5-mini_best_classifier,RandomForest
classification_best,cross_system_holdout_gpt-5-mini_best_accuracy,0.9500
classification_best,cross_system_holdout_gpt-5-mini_best_precision,1.0000
classification_best,cross_system_holdout_gpt-5-mini_best_recall,0.9000
classification_best,cross_system_holdout_gpt-5-mini_best_f1,0.9474
classification_best,cross_system_holdout_gpt-5-mini_best_auroc,0.9707
classification_best,cross_system_holdout_grok-3_best_classifier,RandomForest
classification_best,cross_system_holdout_grok-3_best_accuracy,0.9375
classification_best,cross_system_holdout_grok-3_best_precision,1.0000
classification_best,cross_system_holdout_grok-3_best_recall,0.8750
classification_best,cross_system_holdout_grok-3_best_f1,0.9333
classification_best,cross_system_holdout_grok-3_best_auroc,0.9664
classification_best,cross_system_holdout_llama-3.3-70b-instruct_best_classifier,RandomForest
classification_best,cross_system_holdout_llama-3.3-70b-instruct_best_accuracy,0.9100
classification_best,cross_system_holdout_llama-3.3-70b-instruct_best_precision,1.0000
classification_best,cross_system_holdout_llama-3.3-70b-instruct_best_recall,0.8200
classification_best,cross_system_holdout_llama-3.3-70b-instruct_best_f1,0.9011
classification_best,cross_system_holdout_llama-3.3-70b-instruct_best_auroc,0.9602
classification_best,model_scale_ablation_best_classifier,LogisticRegression
classification_best,model_scale_ablation_best_accuracy,0.8260
classification_best,model_scale_ablation_best_precision,0.8254
classification_best,model_scale_ablation_best_recall,0.9925
classification_best,model_scale_ablation_best_f1,0.9013
classification_best,model_scale_ablation_best_auroc,0.8082
token_annotation_stats,total_tokens,49290
token_annotation_stats,pct_weakly_ai_style,9.7%
token_annotation_stats,pct_weakly_human_style,5.3%
token_annotation_stats,pct_neutral,83.3%
token_annotation_stats,pct_strongly_ai_style,1.4%
token_annotation_stats,pct_strongly_human_style,0.3%
token_annotation_stats,total_sentences_annotated,1000
token_annotation_stats,mean_nll_diff,0.1001
probe_summary,gpt2_base_human_mean_ppl,51.67
probe_summary,gpt2_base_gpt-5_mean_ppl,44.24
probe_summary,gpt2_base_gpt-5_auroc,0.4025
probe_summary,gpt2_base_gpt-5-mini_mean_ppl,43.54
probe_summary,gpt2_base_gpt-5-mini_auroc,0.4063
probe_summary,gpt2_base_grok-3_mean_ppl,40.42
probe_summary,gpt2_base_grok-3_auroc,0.3564
probe_summary,gpt2_base_llama-3.3-70b-instruct_mean_ppl,40.92
probe_summary,gpt2_base_llama-3.3-70b-instruct_auroc,0.3676
probe_summary,gpt2-medium_base_human_mean_ppl,39.06
probe_summary,gpt2-medium_base_gpt-5_mean_ppl,34.96
probe_summary,gpt2-medium_base_gpt-5_auroc,0.4167
probe_summary,gpt2-medium_base_gpt-5-mini_mean_ppl,34.81
probe_summary,gpt2-medium_base_gpt-5-mini_auroc,0.4197
probe_summary,gpt2-medium_base_grok-3_mean_ppl,32.97
probe_summary,gpt2-medium_base_grok-3_auroc,0.3806
probe_summary,gpt2-medium_base_llama-3.3-70b-instruct_mean_ppl,33.11
probe_summary,gpt2-medium_base_llama-3.3-70b-instruct_auroc,0.3901
probe_summary,gpt2-large_base_human_mean_ppl,34.77
probe_summary,gpt2-large_base_gpt-5_mean_ppl,30.38
probe_summary,gpt2-large_base_gpt-5_auroc,0.4147
probe_summary,gpt2-large_base_gpt-5-mini_mean_ppl,31.06
probe_summary,gpt2-large_base_gpt-5-mini_auroc,0.4177
probe_summary,gpt2-large_base_grok-3_mean_ppl,29.97
probe_summary,gpt2-large_base_grok-3_auroc,0.3927
probe_summary,gpt2-large_base_llama-3.3-70b-instruct_mean_ppl,30.22
probe_summary,gpt2-large_base_llama-3.3-70b-instruct_auroc,0.4009
probe_summary,gpt2-xl_base_human_mean_ppl,31.88
probe_summary,gpt2-xl_base_gpt-5_mean_ppl,29.17
probe_summary,gpt2-xl_base_gpt-5_auroc,0.4377
probe_summary,gpt2-xl_base_gpt-5-mini_mean_ppl,29.81
probe_summary,gpt2-xl_base_gpt-5-mini_auroc,0.4410
probe_summary,gpt2-xl_base_grok-3_mean_ppl,28.29
probe_summary,gpt2-xl_base_grok-3_auroc,0.4103
probe_summary,gpt2-xl_base_llama-3.3-70b-instruct_mean_ppl,28.32
probe_summary,gpt2-xl_base_llama-3.3-70b-instruct_auroc,0.4133
probe_summary,gpt2+gpt-5-mini_lora_ft_human_mean_ppl,46.20
probe_summary,gpt2+gpt-5-mini_lora_ft_gpt-5_mean_ppl,36.48
probe_summary,gpt2+gpt-5-mini_lora_ft_gpt-5_auroc,0.3721
probe_summary,gpt2+gpt-5-mini_lora_ft_gpt-5-mini_mean_ppl,35.77
probe_summary,gpt2+gpt-5-mini_lora_ft_gpt-5-mini_auroc,0.3771
probe_summary,gpt2+gpt-5-mini_lora_ft_grok-3_mean_ppl,34.09
probe_summary,gpt2+gpt-5-mini_lora_ft_grok-3_auroc,0.3398
probe_summary,gpt2+gpt-5-mini_lora_ft_llama-3.3-70b-instruct_mean_ppl,34.35
probe_summary,gpt2+gpt-5-mini_lora_ft_llama-3.3-70b-instruct_auroc,0.3534
probe_summary,gpt2+gpt-5_lora_ft_human_mean_ppl,45.87
probe_summary,gpt2+gpt-5_lora_ft_gpt-5_mean_ppl,35.54
probe_summary,gpt2+gpt-5_lora_ft_gpt-5_auroc,0.3626
probe_summary,gpt2+gpt-5_lora_ft_gpt-5-mini_mean_ppl,35.74
probe_summary,gpt2+gpt-5_lora_ft_gpt-5-mini_auroc,0.3779
probe_summary,gpt2+gpt-5_lora_ft_grok-3_mean_ppl,33.87
probe_summary,gpt2+gpt-5_lora_ft_grok-3_auroc,0.3380
probe_summary,gpt2+gpt-5_lora_ft_llama-3.3-70b-instruct_mean_ppl,34.22
probe_summary,gpt2+gpt-5_lora_ft_llama-3.3-70b-instruct_auroc,0.3529
probe_summary,gpt2+grok-3_lora_ft_human_mean_ppl,46.49
probe_summary,gpt2+grok-3_lora_ft_gpt-5_mean_ppl,37.93
probe_summary,gpt2+grok-3_lora_ft_gpt-5_auroc,0.3856
probe_summary,gpt2+grok-3_lora_ft_gpt-5-mini_mean_ppl,36.72
probe_summary,gpt2+grok-3_lora_ft_gpt-5-mini_auroc,0.3884
probe_summary,gpt2+grok-3_lora_ft_grok-3_mean_ppl,33.61
probe_summary,gpt2+grok-3_lora_ft_grok-3_auroc,0.3296
probe_summary,gpt2+grok-3_lora_ft_llama-3.3-70b-instruct_mean_ppl,33.96
probe_summary,gpt2+grok-3_lora_ft_llama-3.3-70b-instruct_auroc,0.3457
probe_summary,gpt2+human_lora_ft_human_mean_ppl,43.79
probe_summary,gpt2+human_lora_ft_gpt-5_mean_ppl,37.91
probe_summary,gpt2+human_lora_ft_gpt-5_auroc,0.4043
probe_summary,gpt2+human_lora_ft_gpt-5-mini_mean_ppl,36.93
probe_summary,gpt2+human_lora_ft_gpt-5-mini_auroc,0.4069
probe_summary,gpt2+human_lora_ft_grok-3_mean_ppl,34.60
probe_summary,gpt2+human_lora_ft_grok-3_auroc,0.3594
probe_summary,gpt2+human_lora_ft_llama-3.3-70b-instruct_mean_ppl,34.60
probe_summary,gpt2+human_lora_ft_llama-3.3-70b-instruct_auroc,0.3687
probe_summary,gpt2+llama-3.3-70b-instruct_lora_ft_human_mean_ppl,46.18
probe_summary,gpt2+llama-3.3-70b-instruct_lora_ft_gpt-5_mean_ppl,37.95
probe_summary,gpt2+llama-3.3-70b-instruct_lora_ft_gpt-5_auroc,0.3891
probe_summary,gpt2+llama-3.3-70b-instruct_lora_ft_gpt-5-mini_mean_ppl,36.63
probe_summary,gpt2+llama-3.3-70b-instruct_lora_ft_gpt-5-mini_auroc,0.3914
probe_summary,gpt2+llama-3.3-70b-instruct_lora_ft_grok-3_mean_ppl,33.76
probe_summary,gpt2+llama-3.3-70b-instruct_lora_ft_grok-3_auroc,0.3365
probe_summary,gpt2+llama-3.3-70b-instruct_lora_ft_llama-3.3-70b-instruct_mean_ppl,33.80
probe_summary,gpt2+llama-3.3-70b-instruct_lora_ft_llama-3.3-70b-instruct_auroc,0.3475
probe_summary,gpt2+pooled_ai_lora_ft_human_mean_ppl,44.00
probe_summary,gpt2+pooled_ai_lora_ft_gpt-5_mean_ppl,32.12
probe_summary,gpt2+pooled_ai_lora_ft_gpt-5_auroc,0.3412
probe_summary,gpt2+pooled_ai_lora_ft_gpt-5-mini_mean_ppl,32.62
probe_summary,gpt2+pooled_ai_lora_ft_gpt-5-mini_auroc,0.3559
probe_summary,gpt2+pooled_ai_lora_ft_grok-3_mean_ppl,31.21
probe_summary,gpt2+pooled_ai_lora_ft_grok-3_auroc,0.3265
probe_summary,gpt2+pooled_ai_lora_ft_llama-3.3-70b-instruct_mean_ppl,31.61
probe_summary,gpt2+pooled_ai_lora_ft_llama-3.3-70b-instruct_auroc,0.3394
